"1c.ru"
"bbc.co.uk"
"bbc.com"
"behance.net"
"bswui-frontend-dev-6176.acceptance.bidswitch.net"
"ir.bilibili.com"
"bloomberg.com"
"branch.io"
"store.storeimages.cdn-apple.com"
"chatgpt.com"
"checkpoint.com"
"service.data.clarity.ms"
"teams.cloud.microsoft"
"cloudflare.net"
"cpanel.net"
"creativecommons.org"
"criteo.com"
"sb.mdlp.crpt.ru"
"gsi-fe-1.kaspersky-labs.com"
"kaspersky.com"
"ir.netease.com"
"partnerforms.octools.prod.netflix.net"
"ngenix.net"
"nginx.com"
"unit.nginx.org"
"nist.gov"
"gitl.notamedia.ru"
"ntp.org"
"ok.ru"
"jag.tt-stage3.omtrdc.net"
"h.online-metrix.net"
"openai.com"
"opendns.com"
"opera.com"
"outbrain.com"
"ozon.ru"
"t-mobile.com"
"t.co"
"t.me"
